length,timestamp,source_ip,destination_ip,protocol
54,1743680205.452915,192.168.0.102,18.244.102.122,6
71,1743680205.466554,192.168.0.102,216.58.215.106,17
66,1743680205.474733,18.244.102.122,192.168.0.102,6
68,1743680205.506878,216.58.215.106,192.168.0.102,17
1292,1743680206.291352,192.168.0.102,8.8.4.4,17
1292,1743680206.29136,192.168.0.102,8.8.4.4,17
118,1743680206.291543,192.168.0.102,8.8.4.4,17
304,1743680206.291707,192.168.0.102,8.8.4.4,17
260,1743680206.291746,192.168.0.102,8.8.4.4,17
82,1743680206.328626,8.8.4.4,192.168.0.102,17
1292,1743680206.328634,8.8.4.4,192.168.0.102,17
1292,1743680206.351269,8.8.4.4,192.168.0.102,17
341,1743680206.351277,8.8.4.4,192.168.0.102,17
976,1743680206.351279,8.8.4.4,192.168.0.102,17
67,1743680206.351281,8.8.4.4,192.168.0.102,17
550,1743680206.351481,8.8.4.4,192.168.0.102,17
64,1743680206.351483,8.8.4.4,192.168.0.102,17
120,1743680206.356083,192.168.0.102,8.8.4.4,17
73,1743680206.356133,192.168.0.102,8.8.4.4,17
73,1743680206.356181,192.168.0.102,8.8.4.4,17
162,1743680206.387671,8.8.4.4,192.168.0.102,17
765,1743680206.38768,8.8.4.4,192.168.0.102,17
78,1743680206.388173,192.168.0.102,8.8.4.4,17
78,1743680206.39454,192.168.0.102,185.70.42.22,6
263,1743680206.395391,192.168.0.102,8.8.4.4,17
252,1743680206.395444,192.168.0.102,8.8.4.4,17
67,1743680206.433167,8.8.4.4,192.168.0.102,17
71,1743680206.433175,8.8.4.4,192.168.0.102,17
585,1743680206.436086,8.8.4.4,192.168.0.102,17
64,1743680206.436098,8.8.4.4,192.168.0.102,17
77,1743680206.436352,192.168.0.102,8.8.4.4,17
74,1743680206.445183,185.70.42.22,192.168.0.102,6
66,1743680206.445295,192.168.0.102,185.70.42.22,6
1490,1743680206.445653,192.168.0.102,185.70.42.22,6
466,1743680206.445662,192.168.0.102,185.70.42.22,6
88,1743680206.445765,192.168.0.102,8.8.4.4,17
1292,1743680206.446449,192.168.0.102,142.250.203.195,17
1292,1743680206.446467,192.168.0.102,142.250.203.195,17
122,1743680206.446651,192.168.0.102,142.250.203.195,17
550,1743680206.448393,8.8.4.4,192.168.0.102,17
64,1743680206.4484,8.8.4.4,192.168.0.102,17
73,1743680206.44853,192.168.0.102,8.8.4.4,17
82,1743680206.476607,142.250.203.195,192.168.0.102,17
1292,1743680206.476614,142.250.203.195,192.168.0.102,17
71,1743680206.476616,8.8.4.4,192.168.0.102,17
66,1743680206.489294,185.70.42.22,192.168.0.102,6
1292,1743680206.495371,142.250.203.195,192.168.0.102,17
348,1743680206.495382,142.250.203.195,192.168.0.102,17
982,1743680206.495384,142.250.203.195,192.168.0.102,17
120,1743680206.496193,192.168.0.102,142.250.203.195,17
73,1743680206.496318,192.168.0.102,142.250.203.195,17
664,1743680206.496518,192.168.0.102,142.250.203.195,17
1294,1743680206.501711,185.70.42.22,192.168.0.102,6
1294,1743680206.501718,185.70.42.22,192.168.0.102,6
1294,1743680206.501719,185.70.42.22,192.168.0.102,6
478,1743680206.501721,185.70.42.22,192.168.0.102,6
160,1743680206.501722,185.70.42.22,192.168.0.102,6
66,1743680206.501835,192.168.0.102,185.70.42.22,6
74,1743680206.502282,192.168.0.102,8.8.4.4,17
146,1743680206.504526,192.168.0.102,185.70.42.22,6
158,1743680206.504704,192.168.0.102,185.70.42.22,6
523,1743680206.504964,192.168.0.102,185.70.42.22,6
144,1743680206.504991,192.168.0.102,185.70.42.22,6
67,1743680206.522476,142.250.203.195,192.168.0.102,17
162,1743680206.526259,142.250.203.195,192.168.0.102,17
71,1743680206.526264,142.250.203.195,192.168.0.102,17
74,1743680206.526509,192.168.0.102,142.250.203.195,17
606,1743680206.546449,142.250.203.195,192.168.0.102,17
63,1743680206.546456,142.250.203.195,192.168.0.102,17
353,1743680206.546458,185.70.42.22,192.168.0.102,6
353,1743680206.54646,185.70.42.22,192.168.0.102,6
66,1743680206.546461,185.70.42.22,192.168.0.102,6
66,1743680206.546587,192.168.0.102,185.70.42.22,6
77,1743680206.547058,192.168.0.102,142.250.203.195,17
130,1743680206.54756,185.70.42.22,192.168.0.102,6
66,1743680206.54765,192.168.0.102,185.70.42.22,6
97,1743680206.547967,192.168.0.102,185.70.42.22,6
1294,1743680206.592126,185.70.42.22,192.168.0.102,6
254,1743680206.592138,185.70.42.22,192.168.0.102,6
66,1743680206.592257,192.168.0.102,185.70.42.22,6
1294,1743680206.625315,185.70.42.22,192.168.0.102,6
1294,1743680206.625328,185.70.42.22,192.168.0.102,6
523,1743680206.62533,185.70.42.22,192.168.0.102,6
66,1743680206.625519,192.168.0.102,185.70.42.22,6
66,1743680206.625677,192.168.0.102,185.70.42.22,6
66,1743680206.628053,142.250.203.195,192.168.0.102,17
147,1743680206.634062,192.168.0.102,185.70.42.22,6
71,1743680206.669044,192.168.0.102,142.250.203.142,17
69,1743680206.712296,142.250.203.142,192.168.0.102,17
66,1743680206.727288,185.70.42.22,192.168.0.102,6
1294,1743680206.731774,185.70.42.22,192.168.0.102,6
239,1743680206.731781,185.70.42.22,192.168.0.102,6
66,1743680206.731854,192.168.0.102,185.70.42.22,6
143,1743680206.810884,192.168.0.102,185.70.42.22,6
140,1743680206.81092,192.168.0.102,185.70.42.22,6
139,1743680206.812105,192.168.0.102,185.70.42.22,6
139,1743680206.81221,192.168.0.102,185.70.42.22,6
137,1743680206.812326,192.168.0.102,185.70.42.22,6
207,1743680206.812439,192.168.0.102,185.70.42.22,6
280,1743680206.812696,192.168.0.102,185.70.42.22,6
135,1743680206.81271,192.168.0.102,185.70.42.22,6
136,1743680206.812721,192.168.0.102,185.70.42.22,6
66,1743680206.863388,185.70.42.22,192.168.0.102,6
66,1743680206.863396,185.70.42.22,192.168.0.102,6
66,1743680206.863398,185.70.42.22,192.168.0.102,6
66,1743680206.864805,185.70.42.22,192.168.0.102,6
66,1743680206.864818,185.70.42.22,192.168.0.102,6
66,1743680206.864821,185.70.42.22,192.168.0.102,6
66,1743680206.864822,185.70.42.22,192.168.0.102,6
66,1743680206.864824,185.70.42.22,192.168.0.102,6
66,1743680206.864826,185.70.42.22,192.168.0.102,6
1294,1743680206.90147,185.70.42.22,192.168.0.102,6
211,1743680206.901486,185.70.42.22,192.168.0.102,6
66,1743680206.901627,192.168.0.102,185.70.42.22,6
1294,1743680206.903129,185.70.42.22,192.168.0.102,6
247,1743680206.903141,185.70.42.22,192.168.0.102,6
66,1743680206.90326,192.168.0.102,185.70.42.22,6
1294,1743680206.908341,185.70.42.22,192.168.0.102,6
333,1743680206.908354,185.70.42.22,192.168.0.102,6
66,1743680206.908509,192.168.0.102,185.70.42.22,6
139,1743680206.910848,192.168.0.102,185.70.42.22,6
1294,1743680206.917829,185.70.42.22,192.168.0.102,6
391,1743680206.917837,185.70.42.22,192.168.0.102,6
66,1743680206.917919,192.168.0.102,185.70.42.22,6
1294,1743680206.92546,185.70.42.22,192.168.0.102,6
1294,1743680206.925467,185.70.42.22,192.168.0.102,6
289,1743680206.925469,185.70.42.22,192.168.0.102,6
66,1743680206.9256,192.168.0.102,185.70.42.22,6
1294,1743680206.933738,185.70.42.22,192.168.0.102,6
790,1743680206.933743,185.70.42.22,192.168.0.102,6
